cenario;arquivo;linha;tempo_s;politica;tarefa;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;cpu_pct;evento_us;inicio_us;fim_us
01;01_CUSTOM_PREEMPTIVO_80MHz_UNICORE.txt;73;35.0;CUSTOM;FAIL_SAFE;1;0;0.0;4239;4239.0;4239;4259;4259.0;4259;20;0.0;0;0.0;23019744;23019764;23024003
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;14;5.0;CUSTOM;FUS_IMU;1000;0;0.0;669;669.1;763;615;615.2;763;0;53.9;54;13.582;5040621;5040567;5041236
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;15;5.0;CUSTOM;CTRL_ATT;1000;0;0.0;451;451.1;513;1130;1131.1;1402;889;1.8;206;9.303;5040567;5041246;5041697
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;16;5.0;CUSTOM;NAV_PLAN;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;17;5.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.002;0;0;0
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;24;10.0;CUSTOM;FUS_IMU;2000;0;0.0;668;669.5;763;615;615.5;763;0;54.0;54;13.595;10040621;10040567;10041236
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;25;10.0;CUSTOM;CTRL_ATT;2000;0;0.0;451;451.3;513;1129;1131.7;1402;889;2.3;206;9.313;10040567;10041246;10041697
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;26;10.0;CUSTOM;NAV_PLAN;3;0;0.0;2;2409.0;7204;12;2816.7;8352;1148;740.3;1138;0.252;9283736;9283746;9283748
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;27;10.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;37;15.0;CUSTOM;FUS_IMU;3000;0;0.0;668;677.7;791;615;623.7;763;0;54.0;54;14.082;15040621;15040567;15041346
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;38;15.0;CUSTOM;CTRL_ATT;3000;0;0.0;451;451.5;513;1129;1140.1;1402;889;18.4;206;9.315;15040567;15041357;15041808
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;39;15.0;CUSTOM;NAV_PLAN;6;0;0.0;1;3763.0;7730;11;3971.7;8352;1148;370.5;1138;0.293;14549306;14549316;14556936
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;40;15.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;52;20.0;CUSTOM;FUS_IMU;4000;0;0.0;668;682.7;791;615;628.7;763;0;54.0;54;14.154;20040621;20040567;20041346
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;53;20.0;CUSTOM;CTRL_ATT;4000;0;0.0;451;451.5;513;1129;1145.2;1402;889;28.3;206;9.315;20040567;20041357;20041808
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;54;20.0;CUSTOM;NAV_PLAN;11;0;0.0;1;3500.9;8662;11;3643.2;8672;1148;249.0;1138;0.456;19088090;19088114;19088116
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;55;20.0;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;61;25.0;CUSTOM;FUS_IMU;5000;0;0.0;668;680.7;794;615;626.9;1440;767;54.1;767;13.657;25040621;25040567;25041236
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;62;25.0;CUSTOM;CTRL_ATT;5000;0;0.0;447;451.5;513;1129;1143.2;1402;889;24.5;206;9.306;25040567;25041246;25041697
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;63;25.0;CUSTOM;NAV_PLAN;12;0;0.0;1;3209.2;8662;11;3340.5;8672;1148;229.4;1138;0.064;22109162;22109172;22109173
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;64;25.0;CUSTOM;FAIL_SAFE;1;0;0.0;1339;1339.0;1339;1348;1348.0;1348;9;0.0;0;0.029;20444906;20444915;20446254
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;66;30.0;CUSTOM;FUS_IMU;6000;0;0.0;668;678.8;794;615;624.9;1440;767;54.1;767;13.576;30040621;30040567;30041236
02;02_CUSTOM_PREEMPTIVO_240MHz_UNICORE.txt;67;30.0;CUSTOM;CTRL_ATT;6000;0;0.0;447;451.4;513;1129;1141.1;1402;889;20.7;206;9.3;30040567;30041246;30041697
